time,dives,contracts,permits,raids
08-25-2023 12:52:03,1,0,0,0
08-25-2023 13:40:55,0,0,1,0
08-25-2023 14:29:38,0,1,0,0
08-25-2023 15:20:49,1,0,1,0
08-25-2023 16:09:16,2,1,0,0
08-25-2023 16:57:44,1,0,0,0
08-25-2023 17:46:11,0,0,0,0
08-25-2023 18:34:55,0,0,0,0
09-01-2023 19:59:17,3,0,0,0
09-01-2023 20:48:14,1,0,0,0
09-01-2023 21:38:18,2,0,0,0
09-01-2023 22:27:18,1,1,0,0
09-01-2023 23:16:08,0,0,0,0
09-02-2023 00:04:57,1,0,0,0
09-02-2023 00:53:48,1,0,0,0
09-02-2023 01:42:38,0,0,1,0
09-02-2023 02:31:19,1,0,0,0
09-02-2023 03:20:02,1,0,0,0
09-02-2023 04:08:43,1,1,0,0
09-02-2023 04:57:33,1,0,0,0
09-02-2023 05:46:24,1,0,0,0
09-02-2023 06:35:14,0,0,0,0
09-02-2023 07:24:14,2,1,0,1
09-02-2023 08:13:04,0,0,0,0
09-02-2023 09:01:54,1,0,0,0
09-02-2023 09:50:44,0,0,0,0
09-02-2023 10:39:43,0,0,1,0
09-02-2023 11:28:33,2,0,0,0
09-02-2023 12:17:22,0,0,0,0
09-02-2023 13:06:11,1,0,0,0
09-02-2023 13:55:09,1,0,0,0
09-02-2023 14:43:58,0,0,0,2
09-02-2023 15:35:50,0,1,0,0
09-02-2023 16:24:40,0,0,1,0
09-02-2023 17:13:21,0,1,1,0
09-02-2023 18:01:46,0,0,0,0
09-02-2023 18:50:20,0,0,0,0
09-02-2023 19:39:02,1,0,1,0
09-02-2023 20:27:43,1,0,0,0
09-02-2023 21:16:23,0,0,0,0
09-02-2023 22:05:05,0,0,0,0
09-02-2023 22:53:55,1,0,0,1
09-02-2023 23:42:54,1,0,1,1
09-03-2023 00:31:43,1,2,0,0
09-03-2023 01:20:16,0,1,0,0
09-03-2023 02:08:41,0,0,0,0
09-03-2023 02:57:16,0,0,0,0
09-03-2023 03:45:57,1,0,0,0
09-03-2023 04:34:49,1,0,0,0
09-03-2023 05:23:38,2,0,1,0
09-03-2023 06:12:20,1,0,0,0
09-03-2023 07:01:09,1,0,0,0
09-03-2023 07:49:59,2,0,0,0
09-03-2023 08:38:57,3,0,1,1
09-03-2023 09:27:47,0,0,0,0
09-03-2023 10:16:38,1,0,0,1
